Month,Monthly milk production: pounds per cow,Number of Cows,Total Milk Production,Price_Per_Pound,Total Revenue
07-Feb,589.0,30,,0.22,
07-Mar,561.0,32,,0.22,
07-Apr,640.0,35,,0.22,
07-May,656.0,35,,0.22,
07-Jun,727.0,35,,0.22,
07-Jul,697.0,35,,0.22,
07-Aug,640.0,35,,0.22,
07-Sep,599.0,35,,0.22,
07-Oct,568.0,35,,0.22,
07-Nov,577.0,35,,0.22,
07-Dec,553.0,37,,0.22,
08-Jan,582.0,37,,0.22,
08-Feb,600.0,37,,0.22,
08-Mar,566.0,37,,0.22,
08-Apr,653.0,37,,0.22,
08-May,673.0,37,,0.22,
08-Jun,742.0,37,,0.22,
08-Jul,716.0,37,,0.22,
08-Aug,660.0,37,,0.22,
08-Sep,617.0,37,,0.22,
08-Oct,583.0,42,,0.22,
08-Nov,587.0,42,,0.22,
08-Dec,565.0,42,,0.22,
09-Jan,598.0,42,,0.22,
09-Feb,628.0,42,,0.22,
09-Mar,618.0,42,,0.22,
09-Apr,688.0,42,,0.22,
09-May,705.0,42,,0.24,
09-Jun,770.0,42,,0.24,
09-Jul,736.0,42,,0.24,
09-Aug,678.0,42,,0.24,
09-Sep,639.0,42,,0.24,
09-Oct,604.0,42,,0.24,
09-Nov,611.0,41,,0.24,
09-Dec,594.0,41,,0.24,
10-Jan,634.0,41,,0.24,
10-Feb,658.0,41,,0.24,
10-Mar,622.0,41,,0.24,
10-Apr,709.0,41,,0.24,
10-May,722.0,44,,0.24,
10-Jun,782.0,44,,0.24,
10-Jul,756.0,44,,0.24,
10-Aug,702.0,44,,0.24,
10-Sep,653.0,44,,0.24,
10-Oct,615.0,44,,0.24,
10-Nov,621.0,44,,0.24,
10-Dec,602.0,44,,0.24,
11-Jan,755.5,44,,0.24,
11-Feb,755.5,44,,0.24,
11-Mar,755.5,44,,0.24,
11-Apr,755.5,44,,0.24,
11-May,755.0,44,,0.24,
11-Jun,811.0,48,,0.24,
11-Jul,798.0,48,,0.24,
11-Aug,735.0,48,,0.24,
11-Sep,697.0,48,,0.24,
11-Oct,661.0,48,,0.24,
11-Nov,667.0,48,,0.24,
11-Dec,645.0,48,,0.24,
12-Jan,688.0,48,,0.24,
12-Feb,713.0,48,,0.24,
12-Mar,667.0,48,,0.24,
12-Apr,762.0,48,,0.24,
12-May,784.0,48,,0.24,
12-Jun,837.0,48,,0.24,
12-Jul,817.0,48,,0.24,
12-Aug,767.0,48,,0.24,
12-Sep,722.0,48,,0.24,
12-Oct,681.0,48,,0.24,
12-Nov,687.0,48,,0.24,
12-Dec,660.0,55,,0.24,
13-Jan,698.0,55,,0.24,
13-Feb,717.0,55,,0.24,
13-Mar,696.0,55,,0.24,
13-Apr,775.0,55,,0.24,
13-May,796.0,55,,0.24,
13-Jun,858.0,55,,0.24,
13-Jul,755.5,55,,0.24,
13-Aug,755.5,55,,0.24,
13-Sep,755.5,55,,0.24,
13-Oct,755.5,55,,0.24,
13-Nov,706.0,52,,0.27,
13-Dec,677.0,52,,0.27,
14-Jan,711.0,52,,0.27,
14-Feb,734.0,52,,0.27,
14-Mar,690.0,52,,0.27,
14-Apr,785.0,52,,0.27,
14-May,805.0,45,,0.27,
14-Jun,871.0,45,,0.27,
14-Jul,845.0,45,,0.27,
14-Aug,801.0,45,,0.27,
14-Sep,764.0,45,,0.27,
14-Oct,725.0,52,,0.27,
14-Nov,723.0,52,,0.27,
14-Dec,690.0,52,,0.27,
15-Jan,734.0,52,,0.27,
